 #	days/landing	mean Res(mHz)	std Res(mHz)
  839.30471280     0.46303741     0.63670395
  844.07597437    -0.02841200     0.58181032
  846.13526835    -0.32647415     0.43402146
  850.60830076    -0.77397198     1.34490640
  854.34443502    -0.25810440     0.70028034
  857.80474752    -0.55683014     0.63306912
  861.53282622     0.06021483     0.71772148
  862.93537252     1.04695590     1.00450847
  869.76699289     1.52135396     1.44163525
  873.20066187    -0.00531383     0.88529206
  875.22850909    -0.29179424     0.60857829
  881.09212020    -0.89620107     1.11537799
  884.53845122    -1.26920725     1.31882293
  888.28172668    -0.76743087     1.36056076
  890.28688872     0.26549603     0.95610179
  899.53037251     0.21364084     1.51053337
  904.05061557    -0.34404691     0.78731816
  911.24301140     0.99100689     1.80201329
  912.27906464     0.99927425     1.31533710
  914.97924983     0.45003857     0.78711535
  917.00401834    -0.50216479     1.26150664
  920.13856695    -0.36100637     0.57651479
  925.65634473     1.30884697     0.96698326
  931.79580075     0.74957876     1.10826239
  941.03931926    -0.38960707     1.04241011
  946.15399519     0.37707967     1.57895000
  955.46029148     0.33606946     1.51199279
  960.59596277    -0.35155932     1.41846292
  968.79287249    -0.81839248     1.43489455
  972.91794194     0.59046635     2.17835456
  980.10869425    -1.83592688     1.21995680
  985.23668036    -0.02608405     1.35161380
  992.44788406     0.76172055     1.86375273
  998.60678452     3.32700640     0.00000000
